evaluations,fitness,sigma
200,0.37603059927408067,0.3960199334996673
400,0.37603059927408067,0.3920794693227022
600,0.37603059927408067,0.3881782134194034
800,0.5530287819854652,0.38431577566092945
1000,0.7554236804876427,0.3804917698002858
1200,0.7554236804876427,0.37670581343369974
1400,0.7554236804876427,0.3729575279623796
1600,0.7554236804876427,0.3692465385546546
1800,0.7850094805664879,0.3655724741084916
2000,0.7850094805664879,0.3619349672143842
2200,0.7850094805664879,0.3583336541186117
2400,1.1973828713980372,0.3547681746868634
2600,1.804521501193063,0.35123817236822497
2800,1.804521501193063,0.3477432941595228
3000,1.804521501193063,0.34428319057002366
3200,1.804521501193063,0.3408575155864851
3400,1.804521501193063,0.33746592663855407
3600,2.582809954230417,0.3341080845645094
3800,2.582809954230417,0.33078365357734557
4000,2.582809954230417,0.32749230123119344
4200,2.582809954230417,0.3242336983880756
4400,2.582809954230417,0.32100751918499215
4600,2.582809954230417,0.3178134410013344
4800,2.582809954230417,0.3146511444266222
5000,2.7786018096508918,0.3115203132285628
5200,2.9455471533939033,0.30842063432142736
5400,3.556448637800258,0.30535179773474214
5600,3.556448637800258,0.30231349658229106
5800,3.556448637800258,0.299305427031427
6000,3.556448637800258,0.29632728827268806
6200,3.556448637800258,0.29337878248971666
6400,3.761369621517923,0.29045961482947735
6600,4.559899797190137,0.2875694933727715
6800,4.559899797190137,0.28470812910504495
7000,5.125597839337247,0.2818752358874865
7200,5.125597839337247,0.27907053042841357
7400,5.125597839337247,0.276293732254943
7600,5.125597839337247,0.2735445636849435
7800,5.231637529845349,0.27082274979926707
8000,5.231637529845349,0.26812801841425693
8200,5.373790667456213,0.26546010005452897
8400,5.373790667456213,0.26281872792602395
8600,5.373790667456213,0.2602036378893279
8800,5.373790667456213,0.2576145684332578
9000,6.177430094966214,0.2550512606487106
9200,6.177430094966214,0.25251345820277166
9400,6.177430094966214,0.2500009073130816
9600,6.262760116130878,0.24751335672245764
9800,6.2817444144531285,0.24505055767376774
10000,6.2817444144531285,0.2426122638850547
