evaluations,fitness,sigma
200,0.515362836512225,0.3960199334996673
400,0.515362836512225,0.3920794693227022
600,0.597139492225348,0.3881782134194034
800,0.597139492225348,0.38431577566092945
1000,0.597139492225348,0.3804917698002858
1200,0.597139492225348,0.37670581343369974
1400,2.434271101833087,0.3729575279623796
1600,2.434271101833087,0.3692465385546546
1800,2.434271101833087,0.3655724741084916
2000,2.434271101833087,0.3619349672143842
2200,2.434271101833087,0.3583336541186117
2400,2.434271101833087,0.3547681746868634
2600,2.434271101833087,0.35123817236822497
2800,2.434271101833087,0.3477432941595228
3000,2.434271101833087,0.34428319057002366
3200,2.434271101833087,0.3408575155864851
3400,2.434271101833087,0.33746592663855407
3600,2.434271101833087,0.3341080845645094
3800,2.434271101833087,0.33078365357734557
4000,2.434271101833087,0.32749230123119344
4200,2.434271101833087,0.3242336983880756
4400,2.434271101833087,0.32100751918499215
4600,2.434271101833087,0.3178134410013344
4800,2.434271101833087,0.3146511444266222
5000,2.434271101833087,0.3115203132285628
5200,2.597667304123165,0.30842063432142736
5400,2.597667304123165,0.30535179773474214
5600,2.597667304123165,0.30231349658229106
5800,2.621500765208524,0.299305427031427
6000,2.621500765208524,0.29632728827268806
6200,2.621500765208524,0.29337878248971666
6400,3.200507873384793,0.29045961482947735
6600,3.200507873384793,0.2875694933727715
6800,3.346766415988794,0.28470812910504495
7000,3.9787985229208758,0.2818752358874865
7200,3.9787985229208758,0.27907053042841357
7400,4.266854790103468,0.276293732254943
7600,4.288926981746321,0.2735445636849435
7800,4.288926981746321,0.27082274979926707
8000,4.288926981746321,0.26812801841425693
8200,4.580493678545776,0.26546010005452897
8400,4.87069939138412,0.26281872792602395
8600,5.525421722147943,0.2602036378893279
8800,5.525421722147943,0.2576145684332578
9000,6.191697830133781,0.2550512606487106
9200,6.191697830133781,0.25251345820277166
9400,6.191697830133781,0.2500009073130816
9600,6.356021329632437,0.24751335672245764
9800,6.740982782186347,0.24505055767376774
10000,6.740982782186347,0.2426122638850547
