evaluations,fitness,sigma
200,0.25521444516907466,0.3960199334996673
400,0.25521444516907466,0.3920794693227022
600,0.3508303673525779,0.3881782134194034
800,0.3508303673525779,0.38431577566092945
1000,0.5669126108694731,0.3804917698002858
1200,0.5669126108694731,0.37670581343369974
1400,0.5669126108694731,0.3729575279623796
1600,0.5669126108694731,0.3692465385546546
1800,0.5669126108694731,0.3655724741084916
2000,0.6418628179699938,0.3619349672143842
2200,0.6418628179699938,0.3583336541186117
2400,0.6418628179699938,0.3547681746868634
2600,0.6418628179699938,0.35123817236822497
2800,0.790470978758547,0.3477432941595228
3000,0.790470978758547,0.34428319057002366
3200,1.4371138229159672,0.3408575155864851
3400,1.4371138229159672,0.33746592663855407
3600,2.651066491546332,0.3341080845645094
3800,2.651066491546332,0.33078365357734557
4000,2.651066491546332,0.32749230123119344
4200,2.651066491546332,0.3242336983880756
4400,2.651066491546332,0.32100751918499215
4600,2.651066491546332,0.3178134410013344
4800,2.651066491546332,0.3146511444266222
5000,2.651066491546332,0.3115203132285628
5200,2.8272937025090847,0.30842063432142736
5400,2.8272937025090847,0.30535179773474214
5600,2.8272937025090847,0.30231349658229106
5800,2.8272937025090847,0.299305427031427
6000,2.8272937025090847,0.29632728827268806
6200,2.8272937025090847,0.29337878248971666
6400,2.910526224094968,0.29045961482947735
6600,3.2853131216963014,0.2875694933727715
6800,3.2853131216963014,0.28470812910504495
7000,3.3459150950561516,0.2818752358874865
7200,3.3459150950561516,0.27907053042841357
7400,3.4807690305607104,0.276293732254943
7600,3.5523774121458422,0.2735445636849435
7800,3.892148411436115,0.27082274979926707
8000,4.122247328314764,0.26812801841425693
8200,4.122247328314764,0.26546010005452897
8400,4.357167205942265,0.26281872792602395
8600,4.357167205942265,0.2602036378893279
8800,4.357167205942265,0.2576145684332578
9000,4.357167205942265,0.2550512606487106
9200,4.357167205942265,0.25251345820277166
9400,4.439162178710275,0.2500009073130816
9600,4.4583596784411235,0.24751335672245764
9800,4.4583596784411235,0.24505055767376774
10000,4.4583596784411235,0.2426122638850547
